PERRO SENIOR (+ 7 AÑOS),,,
,,,
Peso  Lb,Racion Diaria Actividad baja (gr),Racion diaria actividad media (gr),
3 >  6,60,66,
8 > 13 ,100,110,
14 >16,140,154,
17 > 20,180,198,
20 >2 4,220,242,
26>29,260,286,
30>33,300,330,
35>38,340,374,
40>42,380,418,
44>46,420,462,
48>50,460,506,
52>54,500,550,
56>58,540,594,
60>62,580,638,
64>68,620,682,
70>72,660,726,
74>76,700,770,
78>80,740,814,
82>85,780,858,
87>90,820,902,
91>94,860,946,
95>98,900,990,
99>102,940,1034,
103>107,980,1078,
108>113,1020,1122,
PERRO SENIOR (1+ 7 AÑOS),,,
,,,
Peso  Lb,Racion diaria actividad baja (gr),Racion diaria actividad media(gr),Racion diaria actividad alta (gr)
3 >  6,60,75,90
8 > 13 ,100,125,150
14 >16,140,175,210
17 > 20,180,225,270
20 >2 4,220,275,330
26>29,260,325,390
30>33,300,375,450
35>38,340,425,510
40>42,380,475,570
44>46,420,525,630
48>50,460,575,690
52>54,500,625,750
56>58,540,675,810
60>62,580,725,870
64>68,620,775,930
70>72,660,825,990
74>76,700,875,1050
78>80,740,925,1110
82>85,780,975,1170
87>90,820,1025,1230
91>94,860,1075,1290
95>98,900,1125,1350
99>102,940,1175,1410
103>107,980,1225,1470
108>113,1020,1275,1530
PERRO ADULTO (ENTRE 1 Y 7 AÑOS DE EDAD) CON SOBREPESO,,,
,,,
Peso  Lb,Racion diaria (gr),,
3 >  6,60,,
8 > 13 ,100,,
14 >16,140,,
17 > 20,180,,
20 >2 4,220,,
26>29,260,,
30>33,300,,
35>38,340,,
40>42,380,,
44>46,420,,
48>50,460,,
52>54,500,,
56>58,540,,
60>62,580,,
64>68,620,,
70>72,660,,
74>76,700,,
78>80,740,,
82>85,780,,
87>90,820,,
91>94,860,,
95>98,900,,
99>102,940,,
103>107,980,,
108>113,1020,,
CACHORRO DE 2 A 4 MESES,,,
,,,
Peso  Lb,Racion diaria (gr),,
3 >  6,300,,
8 > 13 ,500,,
14 >16,700,,
17 > 20,900,,
20 >2 4,1100,,
26>29,1300,,
30>33,1500,,
35>38,1700,,
40>42,1900,,
44>46,2100,,
48>50,2300,,
52>54,2500,,
56>58,2700,,
60>62,2900,,
64>68,3100,,
70>72,3300,,
74>76,3500,,
78>80,3700,,
82>85,3900,,
87>90,4100,,
91>94,4300,,
95>98,4500,,
99>102,4700,,
103>107,4900,,
108>113,5200,,
CACHORRO DE 4 A 6 MESES,,,
,,,
Peso  Lb,Racion diaria (gr),,
3 >  6,240,,
8 > 13 ,400,,
14 >16,560,,
17 > 20,720,,
20 >2 4,880,,
26>29,1040,,
30>33,1200,,
35>38,1360,,
40>42,1520,,
44>46,1680,,
48>50,1840,,
52>54,2000,,
56>58,2160,,
60>62,2320,,
64>68,2480,,
70>72,2640,,
74>76,2800,,
78>80,2960,,
82>85,3120,,
87>90,3280,,
91>94,3440,,
95>98,3600,,
99>102,3760,,
103>107,3920,,
108>113,4080,,
CACHORRO DE 6 A 8 MESES,,,
,,,
Peso  Lb,Racion diaria (gr),,
3 >  6,180,,
8 > 13 ,300,,
14 >16,420,,
17 > 20,540,,
20 >2 4,660,,
26>29,780,,
30>33,900,,
35>38,1020,,
40>42,1140,,
44>46,1260,,
48>50,1380,,
52>54,1500,,
56>58,1620,,
60>62,1740,,
64>68,1860,,
70>72,1980,,
74>76,2100,,
78>80,2220,,
82>85,2340,,
87>90,2460,,
91>94,2580,,
95>98,2700,,
99>102,2820,,
103>107,2940,,
108>113,3060,,
CACHORRO DE 8 A 10 MESES,,,
,,,
Peso  Lb,Racion diaria (gr),,
3 >  6,120,,
8 > 13 ,200,,
14 >16,280,,
17 > 20,360,,
20 >2 4,440,,
26>29,520,,
30>33,600,,
35>38,680,,
40>42,760,,
44>46,840,,
48>50,920,,
52>54,1000,,
56>58,1080,,
60>62,1160,,
64>68,1240,,
70>72,1320,,
74>76,1400,,
78>80,1480,,
82>85,1560,,
87>90,1640,,
91>94,1720,,
95>98,1800,,
99>102,1880,,
103>107,1960,,
108>113,2040,,
CACHORRO DE 10 A 12 MESES,,,
,,,
Peso  Lb,Racion diaria (gr),,
3 >  6,90,,
8 > 13 ,150,,
14 >16,210,,
17 > 20,270,,
20 >2 4,330,,
26>29,390,,
30>33,450,,
35>38,510,,
40>42,570,,
44>46,630,,
48>50,690,,
52>54,750,,
56>58,810,,
60>62,870,,
64>68,930,,
70>72,990,,
74>76,1050,,
78>80,1110,,
82>85,1170,,
87>90,1230,,
91>94,1290,,
95>98,1350,,
99>102,1410,,
103>107,1470,,
108>113,1530,,